id|name|family|equipment|setup|action|cue|mistake
sumo_deadlift|Sumo Barbell Deadlift|hinge|olympic_barbell,plates|Use a wide stance with toes angled outward and grip the bar inside the legs.|Extend knees and hips to stand and return the bar close to the body.|Keep knees tracking with toes.|Choosing a stance so wide that the feet roll inward.
kettlebell_deadlift|Kettlebell Deadlift|hinge|kettlebells|Place one kettlebell between the feet and hinge to grasp its handle.|Stand with the bell below the shoulders and return it between the feet.|Keep the bell over the middle of the stance.|Reaching far forward for the handle.
barbell_good_morning|Barbell Good Morning|hinge|olympic_barbell,plates,squat_rack|Place a light bar across the upper back inside a rack and soften the knees.|Hinge the hips back to a controlled torso angle, then stand.|Keep the load light while learning.|Rounding to reach a lower torso position.
back_extension|Back Extension Bench|hinge|back_extension_bench|Set the pad just below the hip crease and secure the feet.|Fold through the hips and return to a straight body line without leaning beyond it.|Move at the hips.|Finishing by arching far past neutral.
seated_leg_curl|Seated Leg Curl|leg_curl|seated_leg_curl_machine|Align knees with the machine pivot and secure the thigh pad.|Bend the knees to pull the pad beneath the seat, then return slowly.|Keep thighs beneath the restraint.|Allowing the hips to slide forward.
single_leg_lying_curl|Single-Leg Lying Leg Curl|leg_curl|leg_curl_machine|Lie on a suitable curl machine with one ankle under the roller and hips supported.|Bend one knee and lower the roller without lifting the pelvis.|Keep both hips against the pad.|Arching the back as the heel approaches the hips.
standing_leg_curl|Standing Leg Curl Machine|leg_curl|plate_loaded_standing_leg_curl,plates|Adjust the roller above the ankle and brace against the machine support.|Curl the heel upward and lower with the working thigh steady.|Keep the knee pointing downward.|Moving the whole thigh backward to lift the lever.
stability_ball_leg_curl|Stability-Ball Leg Curl|leg_curl|stability_ball|Lie on the back with heels on a ball and lift the hips into a bridge.|Roll the ball toward the hips by bending the knees, then extend slowly.|Keep the hips lifted only as high as you control.|Letting the ball escape sideways.
glute_ham_raise|Glute-Ham Raise|leg_curl|glute_ham_raise_bench|Adjust the bench so knees rest appropriately on the pad and ankles are secured.|Lower the torso through controlled knee extension, then curl back upright with assistance if needed.|Begin with hand assistance.|Dropping forward faster than the hamstrings can control.
single_leg_glute_bridge|Single-Leg Glute Bridge|bridge||Lie with one foot planted and the other knee drawn toward the chest.|Lift the hips through the planted leg and lower without twisting.|Keep the pelvis level.|Lifting by arching the lower back.
dumbbell_glute_bridge|Dumbbell Glute Bridge|bridge|dumbbells|Lie with feet planted and secure one padded dumbbell across the front of the hips.|Raise the pelvis to a straight shoulder-to-knee line and lower.|Hold the weight in place.|Balancing the weight without hand support.
barbell_glute_bridge|Barbell Glute Bridge|bridge|olympic_barbell,plates|Lie on the floor with a padded bar across the hips and feet planted.|Extend the hips to raise the bar and lower back to the floor.|Keep the bar centered across the hips.|Rolling the bar toward the abdomen.
dumbbell_hip_thrust|Dumbbell Hip Thrust|bridge|flat_bench,dumbbells|Brace the upper back on a stable bench and hold one padded dumbbell across the hips.|Lower the hips and drive upward until the torso and thighs align.|Keep the bench from sliding.|Pushing into a large lower-back arch at the top.
single_leg_hip_thrust|Single-Leg Hip Thrust|bridge|flat_bench|Support the upper back on a stable bench with one foot planted and the other lifted.|Lower and raise the hips using the planted leg while keeping the pelvis level.|Keep the chin gently tucked.|Rotating toward the lifted leg.
machine_hip_thrust|Hip Thrust Machine|bridge|plate_loaded_hip_thrust,plates|Adjust the belt or pad across the hips and set feet according to the machine instructions.|Extend the hips through the machine arc and return to the stop.|Secure the restraint before moving.|Allowing the restraint to sit across the abdomen.
cable_glute_kickback|Cable Glute Kickback|bridge|hi_lo_pull_cable|Attach a rated ankle cuff to a low pulley and hold a stable support.|Move the thigh backward a modest distance and return without bending the back.|Move from the hip.|Swinging high enough to arch the lower back.
hip_abduction_machine|Hip Abduction Machine|hip_side|abductor_machine|Sit with the outer thighs against the pads and feet supported.|Press the legs apart through a comfortable range and return slowly.|Keep the torso against the seat.|Bouncing the pads outward with the upper body.
side_lying_hip_abduction|Side-Lying Hip Abduction|hip_side||Lie on the side with the lower knee bent and upper leg straight.|Lift the upper leg sideways a modest distance and lower without rolling back.|Keep toes generally forward.|Turning the pelvis upward to lift higher.
dumbbell_calf_raise|Dumbbell Calf Raise|calf|dumbbells|Stand with two dumbbells beside the thighs on a level surface.|Lift both heels, pause and lower slowly.|Keep ankles from rolling outward.|Bouncing quickly from the bottom.
single_leg_calf_raise|Single-Leg Calf Raise|calf||Stand on one foot beside a wall for light balance support.|Raise the heel and lower fully before changing sides.|Keep pressure through the ball of the foot.|Pulling upward with the supporting hand.
bodyweight_calf_raise|Bodyweight Calf Raise|calf||Stand with feet near hip width and fingertips on a wall if needed.|Raise the heels evenly and return them to the floor.|Move both ankles together.|Rocking onto the outer edges of the feet.
leg_press_calf_raise|Leg-Press Calf Raise|calf|leg_press_machine_selectorized|Set the machine safely and place the balls of the feet securely on the platform with heels free.|Move the platform through ankle extension and return through a controlled ankle bend.|Keep knees softly extended.|Using a platform edge where the feet can slip.
smith_calf_raise|Smith Machine Calf Raise|calf|smith_machine|Set stops and support the bar across the upper back with feet flat beneath you.|Raise the heels and lower them without bouncing.|Keep the bar path balanced over the feet.|Locking knees backward as the heels lift.
seated_dumbbell_calf_raise|Seated Dumbbell Calf Raise|calf|flat_bench,dumbbells|Sit with knees bent and hold a dumbbell securely above each knee.|Raise the heels, pause and lower while the weights stay steady.|Keep the balls of the feet planted.|Letting the dumbbells slide toward the kneecaps.
dead_bug|Dead Bug|core||Lie on the back with arms up and hips and knees bent.|Reach one arm and the opposite heel away, return and switch sides.|Keep the trunk position steady.|Extending farther than you can control without arching.
bird_dog|Bird Dog|core||Start on hands and knees with hands beneath shoulders.|Reach one arm and the opposite leg, return and alternate without shifting the pelvis.|Reach long rather than high.|Lifting the leg until the lower back arches.
side_plank|Side Plank|core||Lie on one side with the elbow below the shoulder and legs stacked.|Lift the hips into a straight line and hold while breathing, then lower.|Keep shoulders stacked.|Allowing the hips to sag or rotate forward.
kneeling_side_plank|Kneeling Side Plank|core||Lie on the side with knees bent and elbow beneath the shoulder.|Lift the hips so the shoulder, hip and knees align and hold while breathing.|Keep the supporting shoulder away from the ear.|Twisting the chest toward the floor.
pallof_press|Cable Pallof Press|core|hi_lo_pull_cable|Stand side-on to a chest-height pulley and hold the handle against the sternum.|Press the hands forward and bring them back without turning the torso.|Keep hips and shoulders facing ahead.|Rotating with the cable as the arms extend.
band_pallof_press|Band Pallof Press|core|loop_bands|Secure a band to a rated chest-height anchor and stand side-on holding both ends at the chest.|Extend the arms and return while resisting the sideward pull.|Check the anchor first.|Standing too far away to hold the trunk still.
cable_crunch|Kneeling Cable Crunch|core|hi_lo_pull_cable|Kneel facing a high pulley and hold a rope beside the head.|Curl the ribs toward the pelvis and return slowly without pulling with the arms.|Let the trunk create the movement.|Sitting the hips backward as if bowing.
reverse_crunch|Reverse Crunch|core||Lie on the back with knees bent above the hips and arms on the floor.|Curl the pelvis gently off the floor and lower without swinging the legs.|Keep the movement small.|Throwing the knees toward the head for momentum.
bicycle_crunch|Bicycle Crunch|core||Lie on the back with hands lightly supporting the head and legs lifted.|Rotate the ribs toward the opposite bent knee while the other leg extends, then switch.|Turn from the torso.|Pulling the neck with the hands.
floor_crunch|Floor Crunch|core||Lie with knees bent, feet planted and hands across the chest.|Curl the shoulder blades off the floor and lower with control.|Leave space between chin and chest.|Performing a full sit-up by swinging the arms.
hanging_knee_raise|Hanging Knee Raise|core|pull_up_bar|Hang from a secure bar with a controlled shoulder position.|Raise bent knees toward the torso and lower without swinging.|Pause the body before the next repetition.|Kicking the legs to start the movement.
plank_shoulder_tap|Plank Shoulder Tap|core||Set a high plank with hands under shoulders and feet a little wider than the hips.|Touch one hand to the opposite shoulder, replace it and alternate.|Keep the hips facing the floor.|Swaying side to side as each hand lifts.
stability_ball_rollout|Stability-Ball Rollout|core|stability_ball|Kneel with forearms on a stable ball in front of you.|Roll the ball forward a short distance and draw it back while the torso stays aligned.|Use a short reach first.|Rolling beyond the point where the lower back can stay controlled.
seated_cable_rotation|Seated Cable Rotation|core|hi_lo_pull_cable,flat_bench|Sit side-on to a chest-height pulley with feet planted and hold a handle in both hands.|Turn the ribs away from the cable through a modest range, then return.|Keep the pelvis facing forward.|Forcing rotation at the end of range.
